id,program_areas,strategies,categories
896,Arts & Creativity,,
901,,,Job Openings
933,,Racial Wealth Equity Initiative,Racial Equity
939,Climate,Clean Energy,
629,,,Job Openings
633,Education,,
911,Climate,Mobility,
850,Education,Invest in Educators,Racial Equity
907,,Waterfront Initiative,
912,,,Learning & Evaluation
906,,Waterfront Initiative,
921,Climate,Clean Energy,
910,,,From the President
773,,,From the President|COVID-19|Racial Equity
908,Arts & Creativity,,
983,Special Initiatives,Racial Wealth Equity Initiative,
905,,,
915,,,Grants Announcements
919,Education,,Job Openings
923,Climate,Clean Energy,
627,Climate,Mobility,
914,Arts & Creativity,,
918,,,Job Openings
934,,,Grants Announcements
82,Arts & Creativity,,
924,Arts & Creativity,,
913,Special Initiatives,Racial Wealth Equity Initiative,Racial Equity
977,,Racial Wealth Equity Initiative,
979,,,
978,,,Grants Announcements
986,Education,,
162,Sector Effectiveness,,
432,,,Job Openings
926,,,Grants Announcements
930,Education,,
160,,,
831,Climate,Mobility,COVID-19
936,Arts & Creativity,,
960,Climate,Mobility,
360,,,Newsletter Archive
938,,,
902,,,Job Openings
944,Climate,Climate Resilience,
206,,,Job Openings
940,Education,,
962,,,Job Openings
945,Education,,Engage New England|Learning & Evaluation
929,Climate,Clean Energy,
946,,,Grants Announcements
829,,,Grants Announcements
961,Education,,Engage New England
980,,,From the President
988,,,Grants Announcements
817,,,From the President
951,Arts & Creativity,,
948,Arts & Creativity,,
949,Sector Effectiveness,,
968,Climate,Mobility,
359,,,Grants Announcements
950,Education,,
969,,,Grants Announcements
967,Climate,Clean Energy,
981,,,Learning & Evaluation
947,,,Job Openings
955,,,From the President|Racial Equity
433,Arts & Creativity,,
954,Climate,Clean Energy,Racial Equity
953,,,
768,Sector Effectiveness,,
958,,,From the President|Racial Equity
761,Climate,,Racial Equity
723,Climate,Mobility | Clean Energy | Climate Resilience,COVID-19
719,Education,,COVID-19
971,Climate,,Racial Equity
957,Special Initiatives,Racial Wealth Equity Initiative,Racial Equity
959,Arts & Creativity,,
637,Education,,
984,Arts & Creativity,,Job Openings
982,,,Learning & Evaluation
976,Arts & Creativity,,
628,Arts & Creativity,,
973,,,
970,,,Job Openings
543,Arts & Creativity,,
631,Arts & Creativity,,
320,,,Learning & Evaluation
593,Arts & Creativity,,
712,,,COVID-19|From the President
425,Education,,
972,,,Job Openings
963,Climate,,Racial Equity
818,Sector Effectiveness,Barr Fellowship,
535,,,Learning & Evaluation
427,,,Learning & Evaluation
956,,,Grants Announcements
985,,,
965,Education,Invest in Educators,
