id,title,keywords,alt_text,attribution,attribution_url,url,filename
1108,Education Regional Strategy 3,Advance flexibilities and autonomies.,Advance flexibilities and autonomies.,,,https://barrfdn-prod.s3.amazonaws.com/image/1108/original.jpg,1108.jpg
1109,Education Strategy for Boston w background,education,Barr's Education Strategies for Boston,,,https://barrfdn-prod.s3.amazonaws.com/image/1109/original.jpg,1109.jpg
1110,Education Strategies Regional Overview,education strategies,Barr's Education Strategies to create a new vision of secondary education in New England,,,https://barrfdn-prod.s3.amazonaws.com/image/1110/original.jpg,1110.jpg
1111,Boston Creates Plan Cover Photo,,Boston Creates Plan Cover Photo,Leo March,http://www.bostoncreates.org/,https://barrfdn-prod.s3.amazonaws.com/image/1111/original.jpg,1111.jpg
1112,Boston Creates Outside Dancers,,Boston Creates Outside Dancers,Leo March,http://www.bostoncreates.org/,https://barrfdn-prod.s3.amazonaws.com/image/1112/original.jpg,1112.jpg
1113,Jim and Jane Chu,"arts, Jim",Jim Canales and Jane Chu,Boston Globe,,https://barrfdn-prod.s3.amazonaws.com/image/1113/original.jpg,1113.jpg
1114,Education Icon Boston Final for Web,Education,Barr's Education Strategies for Boston,,,https://barrfdn-prod.s3.amazonaws.com/image/1114/original.jpg,1114.jpg
1115,Jackie DeWolfe headshot,,Jackie DeWolfe,,,https://barrfdn-prod.s3.amazonaws.com/image/1115/original.jpeg,1115.jpeg
1116,FoProBiM logo square,global,FoProBiM,,,https://barrfdn-prod.s3.amazonaws.com/image/1116/original.jpg,1116.jpg
1117,FoProBiM color logo,global,FoProBiM,,,https://barrfdn-prod.s3.amazonaws.com/image/1117/original.jpg,1117.jpg
1118,FoProBiM Bees,global,Two men harvest honey surrounded by bees.,,http://www.foprobim.org/,https://barrfdn-prod.s3.amazonaws.com/image/1118/original.jpg,1118.jpg
1119,FoProBiM Boat,global,FoProBiM,,http://www.foprobim.org/,https://barrfdn-prod.s3.amazonaws.com/image/1119/original.jpg,1119.jpg
