Request Number,Docket Record Name,Organization Name,Grant Amount,grant_amount_number,Amount (Fund-Coding),program_areas,strategies,Grant Purpose,Award Date,Fund Name,Award Year,Department
17-06451--2,17-06451--2 - The Trust for Public Land,The Trust for Public Land,"$290,000.00","290,000.00","$145,000.00",Climate,Mobility,To support green infrastructure in the Metro Mayors?Äô Coalition region,8/1/2017,Grants,2017,Climate
17-06627,17-06627 - Environmental Grantmakers Association,Environmental Grantmakers Association,"$80,000.00","80,000.00","$40,000.00",Climate,Mobility,To support the EGA Environmental Fellows Program and the placement of four fellows in Barr grantee organizations,11/21/2017,Grants,2017,Climate
17-06627--2,17-06627--2 - Environmental Grantmakers Association,Environmental Grantmakers Association,"$80,000.00","80,000.00","$40,000.00",Climate,Clean Energy,To support the EGA Environmental Fellows Program and the placement of four fellows in Barr grantee organizations,11/21/2017,Grants,2017,Climate
17-06661,"17-06661 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$900,000.00","900,000.00","$270,000.00",Climate,Climate Resilience,To provide core support,3/22/2018,Grants,2018,Climate
17-06661--2,"17-06661--2 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$900,000.00","900,000.00","$630,000.00",Special Initiatives,Waterfront Initiative,To provide core support,3/22/2018,Grants,2018,Waterfront
18-06891,"18-06891 - Enterprise Community Partners, Inc.","Enterprise Community Partners, Inc.","$1,050,000.00","1,050,000.00","$525,000.00",Climate,Climate Resilience,"to support the design of equitable, sustainable, and connected communities and the placement of Rose Fellows",6/20/2018,Grants,2018,Climate
18-06891--2,"18-06891--2 - Enterprise Community Partners, Inc.","Enterprise Community Partners, Inc.","$1,050,000.00","1,050,000.00","$525,000.00",Climate,Mobility,"to support the design of equitable, sustainable, and connected communities and the placement of Rose Fellows",6/20/2018,Grants,2018,Climate
18-06967,"18-06967 - Alternatives for Community and Environment, Inc.","Alternatives for Community and Environment, Inc.","$225,000.00","225,000.00","$112,500.00",Climate,Clean Energy,to provide general operating and capacity-building support,9/19/2018,Grants,2018,Climate
18-06967--2,"18-06967--2 - Alternatives for Community and Environment, Inc.","Alternatives for Community and Environment, Inc.","$225,000.00","225,000.00","$112,500.00",Climate,Mobility,to provide general operating and capacity-building support,9/19/2018,Grants,2018,Climate
18-06968,18-06968 - The Hideo Sasaki Foundation,The Hideo Sasaki Foundation,"$55,000.00","55,000.00","$18,700.00",Climate,Climate Resilience,to support strategic planning and workplan development for mobility and resilience,4/27/2018,Grants,2018,Climate
18-06968--2,18-06968--2 - The Hideo Sasaki Foundation,The Hideo Sasaki Foundation,"$55,000.00","55,000.00","$36,300.00",Climate,Mobility,to support strategic planning and workplan development for mobility and resilience,4/27/2018,Grants,2018,Climate
18-06969,18-06969 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$2,000,000.00","2,000,000.00","$1,000,000.00",Climate,Climate Resilience,To develop a long-range regional plan for the MAPC region,9/19/2018,Grants,2018,Climate
18-06969--2,18-06969--2 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$2,000,000.00","2,000,000.00","$1,000,000.00",Climate,Mobility,To develop a long-range regional plan for the MAPC region,9/19/2018,Grants,2018,Climate
18-07078,"18-07078 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$1,200,000.00","1,200,000.00","$240,000.00",Climate,Climate Resilience,To advance transit-oriented development in Gateway Cities,9/19/2018,Grants,2018,Climate
18-07078--2,"18-07078--2 - The Massachusetts Institute for a New Commonwealth, Inc.","The Massachusetts Institute for a New Commonwealth, Inc.","$1,200,000.00","1,200,000.00","$960,000.00",Climate,Mobility,To advance transit-oriented development in Gateway Cities,9/19/2018,Grants,2018,Climate
18-07089,18-07089 - Health Care Without Harm,Health Care Without Harm,"$900,000.00","900,000.00","$360,000.00",Climate,Climate Resilience,to support Massachusetts health care sector leadership on climate action,12/4/2018,Grants,2018,Climate
18-07089--2,18-07089--2 - Health Care Without Harm,Health Care Without Harm,"$900,000.00","900,000.00","$540,000.00",Climate,Clean Energy,to support Massachusetts health care sector leadership on climate action,12/4/2018,Grants,2018,Climate
18-07093,18-07093 - Environmental Grantmakers Association,Environmental Grantmakers Association,"$160,000.00","160,000.00","$80,000.00",Climate,Mobility,to support the Environmental Fellows Program evaluation and alumni engagement efforts,10/31/2018,Grants,2018,Climate
18-07093--2,18-07093--2 - Environmental Grantmakers Association,Environmental Grantmakers Association,"$160,000.00","160,000.00","$80,000.00",Climate,Clean Energy,to support the Environmental Fellows Program evaluation and alumni engagement efforts,10/31/2018,Grants,2018,Climate
18-07101,18-07101 - City of Boston,City of Boston,"$25,000.00","25,000.00","$12,500.00",Climate,Climate Resilience,to provide additional support for scope expansion related to district resilience in South Boston/Fort Point,4/27/2018,Grants,2018,Climate
18-07101--2,18-07101--2 - City of Boston,City of Boston,"$25,000.00","25,000.00","$12,500.00",Climate,Climate Resilience,to provide additional support for scope expansion related to district resilience in South Boston/Fort Point,4/27/2018,Grants,2018,Climate
18-07198,"18-07198 - Conservation Law Foundation, Inc.","Conservation Law Foundation, Inc.","$2,400,000.00","2,400,000.00","$1,200,000.00",Climate,Clean Energy,To inform climate policies and practices in the region,9/19/2018,Grants,2018,Climate
18-07198--2,"18-07198--2 - Conservation Law Foundation, Inc.","Conservation Law Foundation, Inc.","$2,400,000.00","2,400,000.00","$1,200,000.00",Climate,Mobility,To inform climate policies and practices in the region,9/19/2018,Grants,2018,Climate
18-07490,"18-07490 - Clean Energy Group, Inc.","Clean Energy Group, Inc.","$300,000.00","300,000.00","$210,000.00",Climate,Clean Energy,To support energy storage deployment in Massachusetts and collaborative efforts in the region,2/28/2019,Grants,2019,Climate
18-07490--2,"18-07490--2 - Clean Energy Group, Inc.","Clean Energy Group, Inc.","$300,000.00","300,000.00","$90,000.00",Climate,Climate Resilience,To support energy storage deployment in Massachusetts and collaborative efforts in the region,2/28/2019,Grants,2019,Climate
18-07494,18-07494 - Innovation Network for Communities,Innovation Network for Communities,"$725,000.00","725,000.00","$362,500.00",Climate,Climate Resilience,To support core operations of the Green Ribbon Commission and its working groups,3/27/2019,Grants,2019,Climate
18-07494--2,18-07494--2 - Innovation Network for Communities,Innovation Network for Communities,"$725,000.00","725,000.00","$362,500.00",Climate,Clean Energy,To support core operations of the Green Ribbon Commission and its working groups,3/27/2019,Grants,2019,Climate
18-07498,18-07498 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$3,000,000.00","3,000,000.00","$600,000.00",Climate,Climate Resilience,"to support mobility, clean energy, and climate resiliency planning",3/27/2019,Grants,2019,Climate
18-07498--2,18-07498--2 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$3,000,000.00","3,000,000.00","$900,000.00",Climate,Clean Energy,"to support mobility, clean energy, and climate resiliency planning",3/27/2019,Grants,2019,Climate
18-07498--3,18-07498--3 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$3,000,000.00","3,000,000.00","$1,500,000.00",Climate,Mobility,"to support mobility, clean energy, and climate resiliency planning",3/27/2019,Grants,2019,Climate
18-07511,18-07511 - The Trust for Public Land,The Trust for Public Land,"$450,000.00","450,000.00","$25,000.00",Climate,Mobility,"To support education, engagement, and training to expand green infrastructure solutions in Metro Boston",8/29/2019,Grants,2019,Climate
18-07511--2,18-07511--2 - The Trust for Public Land,The Trust for Public Land,"$450,000.00","450,000.00","$425,000.00",Climate,Climate Resilience,"To support education, engagement, and training to expand green infrastructure solutions in Metro Boston",8/29/2019,Grants,2019,Climate
18-07590,"18-07590 - Community Labor United, Inc.","Community Labor United, Inc.","$750,000.00","750,000.00","$150,000.00",Climate,Climate Resilience,To support and coordinate the Green Justice Coalition?Äôs Boston and statewide clean energy efforts,9/18/2019,Grants,2019,Climate
18-07590--2,"18-07590--2 - Community Labor United, Inc.","Community Labor United, Inc.","$750,000.00","750,000.00","$600,000.00",Climate,Clean Energy,To support and coordinate the Green Justice Coalition?Äôs Boston and statewide clean energy efforts,9/18/2019,Grants,2019,Climate
